speaker,season,word_count
(Pam's mom) Heleen,6,2
3rd Athlead Employee,9,7
4th Athlead Employee,9,10
A.J.,5,30
AJ,5,58
AJ,7,69
Aaron Rodgers,9,34
Abby,2,91
Actor,2,17
Actress,2,1
Ad guy 1,4,106
Ad guy 2,4,35
Air Force recruiter,4,20
Alan,3,73
Alan,6,149
Albiny,2,24
Alex,5,224
Alice,9,172
All,2,3
All,3,1
All,4,8
All,5,5
All,6,6
All,7,137
All,8,45
All,9,35
All Girls,4,1
All but Oscar,7,2
All the Men,2,4
Alonzo,8,3
Alyssa,2,4
Amanda,8,72
Amy,4,19
Andy,3,4382
Andy,4,2756
Andy,5,4989
Andy,6,6006
Andy,7,5917
Andy,8,13354
Andy,9,8263
Andy & Erin,6,60
Andy & Erin,8,4
Andy & Michael,3,7
Andy & Michael,6,2
Andy & Walter,8,36
Andy and Darryl,8,20
Andy and Dwight,6,30
Andy and Erin,7,1
Andy and Jim,3,29
Andy and Michael,3,38
"Andy, Creed, Kevin, Kelly",4,25
"Andy, Creed, Kevin, Kelly, Darryl",4,17
"Andy, Darryl & Officer Foley",8,14
Andy/Oscar,8,18
Andy/Pam,8,15
Andy/Stanley,8,9
Angel,7,8
Angela,1,236
Angela,2,1174
Angela,3,2260
Angela,4,1740
Angela,5,2033
Angela,6,984
Angela,7,1427
Angela,8,1341
Angela,9,3148
Angela & Oscar,9,5
Angela and Dwight,4,0
Angela and Kelly,5,16
Angela/Pam,8,1
Angels,4,2
Anglea,2,4
Announcer,3,23
Announcer,8,26
Another guy,7,9
Archivist,8,18
Artist,3,3
Astrid,7,8
Athlead Coworker,9,9
Athlead Employee,9,120
Attendant,7,43
Audience,7,4
Audience,8,1
Audience,9,1
Aunt Shirley,9,75
Automated phone voice,5,12
Ballerinas,9,6
Bar Manager,6,146
Barbara,3,94
Barbara Allen,3,13
Bartender,3,2
Bartender,4,38
Bartender,9,23
Bass Player,7,9
Ben,4,29
Ben Franklin,3,197
Bert,8,156
Beth,5,27
Bill,2,92
Bill Cress,4,2
Bill Hader,9,1
Billy,2,29
Billy Merchant,2,177
Billy's Girlfriend,2,11
Blogger,8,19
Blogger 2,8,10
Blonde,5,35
Blood Drive Worker,5,48
Blood Girl,5,83
Boat Guy,9,121
Bob,2,22
Bob,3,14
Bob,5,73
Bob,6,3
Bob,8,45
Bob Vance,2,26
Bob Vance,3,44
Bob Vance,4,13
Bob Vance,5,9
Bob Vance,6,9
"Bob Vance, Vance Refrigeration",9,5
Bob's Secretary,8,13
Bookstore employee,7,18
Boom Box,7,16
Both,3,14
Both,4,4
Both,5,2
Both,6,24
Both,7,5
Both,8,1
Both,9,42
Bouncer,6,4
Brad,4,95
Brandon,8,140
Brenda,2,38
Brian,9,487
Broccoli Rob,9,172
Bruce,8,2
Bus driver,7,22
Business Student #1,3,49
Business Student #2,3,41
Business Student #3,3,11
Business partner,9,72
Businessman #1,9,8
Businessman #2,9,51
Businessman #3,9,13
Buyer,3,25
Buyer,9,9
CPR Trainer,5,16
CPR trainer,5,9
Calvin,8,18
Camera Crew,9,5
CameraMan,9,10
Cameraman,9,1
Cameron,9,52
Captain Jack,2,420
Carla,7,8
Carla,9,89
Carla Fern,9,57
Carol,2,274
Carol,3,203
Carol,9,7
Carol Stills,9,3
Carrol,7,20
Carroll,7,108
Casey,9,147
Casey Dean,9,6
Cathy,8,376
Cece,7,0
Cece,8,9
Cece,9,7
Cell Phone Sales Person,7,21
Chad Lite,3,37
Chares,5,3
Charles,5,1764
Check-in guy,9,47
Chef,3,15
Chelsea,8,3
Chet,2,9
Child,3,13
Children,2,3
Chili's Employee,2,37
Christian,2,165
Christian Slater,6,67
Church congregation,7,8
Cindy,3,14
Clark,6,131
Clark,9,2206
Clay Aiken,9,18
Cleaning lady,4,1
Client,5,19
Client,7,2
Client,8,13
Co-Worker 1,4,3
Co-Worker 2,4,26
Co-Worker 3,4,11
Co-worker,9,33
Co-worker #2,9,4
Co-workers,4,7
Coffee shop worker,4,12
Colin,9,29
College Student,3,0
Computron,6,46
Concierge,5,48
Concierge Marie,5,4
Cookie Monster,6,44
Council,4,39
Cousin Mose,3,5
Craig,2,123
Credit card rep,6,21
Creed,2,642
Creed,3,908
Creed,4,643
Creed,5,402
Creed,6,316
Creed,7,643
Creed,8,273
Creed,9,532
Crowd,2,7
Crowd,3,2
Crowd,8,1
Crowd,9,2
Curtis,8,19
Customer,5,27
Customer,6,35
Customer,7,2
D,6,14
DJ,7,24
Dacvid Walalce,5,5
Dacvid Wallace,5,2
Dakota,9,24
Dale,6,3
Dan,2,7
Dan Gore,3,1
Dana,2,43
Dance Teacher,9,7
Danny,7,563
Darrly,7,5
Darry,3,14
Darryl,1,108
Darryl,2,595
Darryl,3,882
Darryl,4,400
Darryl,5,765
Darryl,6,943
Darryl,7,2050
Darryl,8,2991
Darryl,9,2516
Darryl & Oscar,8,5
Darryl and Andy,7,21
Darryl and Angela,7,1
Darryl and Katy,2,4
Darryl and Kevin,8,2
Darryl's sister,7,3
Daryl,6,168
Daryl,7,249
David,2,111
David,3,635
David,4,8
David,5,1428
David,6,1186
David,7,91
David,8,296
David,9,183
David Brent,7,101
David Wallace,4,43
David Wallace,5,270
David Wallace,6,161
David Wallace,9,622
David Wallace's Secretary,6,15
David Wallcve,5,7
DeAgnelo,7,4
DeAngelo,7,1147
Dealer,2,36
Deangelo,7,2037
Deangelo/Michael,7,2
Delivery Boy,2,16
Delivery Woman,2,8
Delivery man,2,15
Deliveryman,6,12
Denagelo,7,2
Denise,3,53
Dennis,9,15
Deposition Reporter,4,85
Devon,2,101
Diane,4,127
Diane Kelly,4,235
Dight,5,1
Director,9,119
Doctor,2,42
Doctor,6,21
Doctor,9,10
Documentary Crew Member,1,44
Donna,6,445
Donna,7,42
Donna Muraski,8,21
Doug,7,50
Doug [church member],7,5
Drive Thru Customer,9,8
Drummer,8,2
DunMiff/sys,4,65
Dwight,1,3467
Dwight,2,11248
Dwight,3,9276
Dwight,4,5701
Dwight,5,10910
Dwight,6,8688
Dwight,7,8431
Dwight,8,11442
Dwight,9,12927
Dwight ,3,48
Dwight ,5,7
Dwight & Andy,6,2
Dwight & Nate,7,4
Dwight [on phone],7,9
Dwight and Andy,5,19
Dwight and Andy,6,2
Dwight and Angela,6,2
Dwight and Erin,5,7
Dwight and Erin,7,2
Dwight and Michael,2,16
Dwight and Michael,3,3
Dwight and Michael,4,6
Dwight and Michael,5,9
Dwight and Roy,2,1
"Dwight, Erin, Jim & Kevin",8,3
"Dwight, Jim & Pam",6,0
"Dwight, Jim and Michael",6,3
Dwight.,6,2
Dwight:,3,13
DwightKSchrute,4,18
Ed,2,65
Ed,9,12
Edward R. Meow,2,61
Einsteins,8,1
Elderly Woman,8,5
Elizabeth,3,85
Elizabeth,4,4
Ellen,8,12
Emergency Operator,8,8
Employee,2,17
Employees,5,21
Employees except Dwight,7,3
Entire Prince family,5,2
Entire office,5,1
Eric,5,2
Eric,6,233
Erin,5,253
Erin,6,2526
Erin,7,2521
Erin,8,3671
Erin,9,3779
Erin and Irene,8,0
Erin and Kelly,7,4
Erin's Cell Phone,8,13
Ernesto,8,10
Esther,9,236
Evan,3,41
Everybody,1,24
Everybody,2,2
Everybody,3,11
Everybody,4,16
Everyone,2,3
Everyone,3,9
Everyone,4,3
Everyone,5,19
Everyone,6,27
Everyone,7,0
Everyone,8,31
Everyone,9,18
Everyone watching,5,1
Ex-client,4,118
Fake Jim,9,77
Fake Stanley,6,1
Fannie,9,227
Fast Food Worker,9,3
Female Applicant,8,10
Female Athlead Employee,9,16
Female Intern,6,12
Female Shareholder,6,1
Female church member,7,14
Female church member [to Michael],7,2
Female intern,6,0
Female worker,2,6
Financial Guy,5,95
Finger Lakes Guy,7,59
Fourth Shareholder,6,8
Frank,9,71
Fred,7,116
Fred Henry,7,18
Friend,5,36
Front Desk Clerk,6,65
GPS,4,21
Gabe,6,1297
Gabe,7,2725
Gabe,8,1564
Gabe,9,231
Gabe/Kelly/Toby,8,12
Gabor,9,41
German Minister,9,37
Gideon,8,26
Gil,2,3
Gil,3,34
Girl,5,4
Girl,7,175
Girl,8,20
Girl acting Pregnant,2,16
Girl at table,6,3
Girl in 2nd club,4,27
Girl in Club,4,28
Girls,3,3
Glen,6,6
Glenn,8,24
Glenn,9,11
Graphics guy,4,122
Grotti,6,376
Group,3,56
Group,5,6
Group,6,2
Group,8,5
Group,9,67
Group chant,2,4
"Group: Dunder Mifflin!
Andy: Andy Bernard presents: Summer Softball Epic Fails! [Kevin swings bat on screen, fart noise follows] Fail. [repeats] Fail",9,1
Guy,2,14
Guy,3,14
Guy,5,19
Guy,7,78
Guy,9,42
Guy At Bar,2,7
Guy at bar,2,3
Guy at table,5,10
Guy buying doll,5,0
Guy in audience,5,0
Guys in breakroom,9,0
Gwenneth,6,2
Gym Instructor,6,13
Gym instructor,6,19
HCT,9,3
HCT Member #1,9,5
HCT Member #2,9,17
HCT Member #3,9,112
Hank,2,31
Hank,4,41
Hank,5,129
Hank,6,14
Hank,7,66
Hank,8,31
Hank,9,13
Hank [the security guard],5,9
Hank the Security Guard,2,23
Hannah,3,116
Harry,8,258
Harvey,3,42
Hayworth's waiter,6,19
Helen,7,45
Helene,6,428
Helene,7,54
Helene,9,41
Henry,9,33
Hide,6,93
Hide,8,6
Hide,9,54
Holly,4,578
Holly,5,2430
Holly,7,2057
Holly & Darryl,5,2
Holly & Michael,5,0
Holly's Dad,7,24
Holly's Mom,7,27
Holy,4,13
Holy,7,7
Hooter's Girls,2,40
Hospital employee,6,55
Host,8,404
Hostess,2,3
Hostess,6,8
Hot Dog Guy,7,17
Hotel Employee,6,124
Hotel Manager,6,42
Hunter,3,25
Hunter's CD,4,40
I.D. Photographer,2,1
IT Tech Guy,4,55
Improv Teacher,2,306
Intern,4,54
Investor,9,9
Ira,2,59
Irene,8,223
Isaac,5,33
Isaac,9,24
Isabel,6,176
Isabelle,6,55
JIM9334,5,22
JIM9334 [screen name],5,4
JIm,2,1
Jada,7,95
Jake,2,130
Jake,8,5
Jakey,9,15
Jamie,3,25
Jan,1,351
Jan,2,2576
Jan,3,2939
Jan,4,2106
Jan,5,718
Jan,7,275
Jan,9,278
Jan [on phone],4,3
Jeb,9,151
Jerome Bettis,3,17
Jerry,6,158
Jessica,5,28
Jessica,8,284
Jessica Alba,5,11
Jim,1,2818
Jim,2,8198
Jim,3,6026
Jim,4,6032
Jim,5,7664
Jim,6,8132
Jim,7,6079
Jim,8,8295
Jim,9,8033
Jim ,5,7
Jim & Dwight,9,5
Jim & Pam,6,2
Jim and Dwight,2,2
Jim and Pam,2,3
Jim and Pam,5,3
Jim and Pam,7,3
Jim's Dad,7,14
Jim's voicemail,2,5
"Jim, Josh, and Dwight",3,2
"Jim, Pam, Michael and Dwight",5,2
Jo,6,1985
Jo,7,922
Jo Bennett,6,20
Joan,9,50
Jordan,7,64
Josh,2,75
Josh,3,468
Julia,5,76
Julie,6,75
Julius,3,13
Julius,9,65
Julius Irving,9,18
Justin,4,62
Justine,7,22
Justine,8,10
Karen,3,2290
Karen,4,246
Karen,5,171
Karen,7,12
Kathy,6,17
Kathy,8,48
Katy,1,380
Katy,2,144
Keena Gifford,6,48
Kelly,1,21
Kelly,2,1340
Kelly,3,2053
Kelly,4,885
Kelly,5,1491
Kelly,6,1229
Kelly,7,1725
Kelly,8,1340
Kelly,9,151
Kelly and Erin,6,13
Kelly and Erin,7,5
Kelly's Father,3,19
Kelly's Mom,3,37
Kendall,5,142
Kenny,3,81
Kenny,8,20
Kenny,9,15
Kevin,1,199
Kevin,2,1015
Kevin,3,1601
Kevin,4,1187
Kevin,5,1429
Kevin,6,1677
Kevin,7,1866
Kevin,8,2223
Kevin,9,2190
Kevin & Andy,5,1
Kevin & Meredith,8,1
Kevin & Oscar,2,3
Kevin's computer,2,0
Kid,2,10
Kid,4,5
Kid,6,5
Kid,7,7
Kids,2,3
Kids,6,3
Kids,7,1
Lab Tech,2,30
Lady,3,8
Lady,7,9
Lady,8,52
Lady Blogger,8,4
Larry,3,9
Larry Myers,4,45
Lauren,8,92
Laurie,6,29
Lawyer,5,8
Lawyer,6,130
Lefevre,6,153
Leo,5,15
Lester,4,379
Lily,5,62
Limo Driver,6,7
Limo Driver,9,19
Linda,2,32
Linda,5,13
Liquor Store Clerk,2,12
Little Girl,6,14
Little Girl,7,10
Lonnie,9,13
Lonny,1,37
Lonny,2,37
Lonny,3,79
Luke,7,141
Lynn,5,50
M ichael,3,5
MIchael,3,69
Madge,1,13
Madge,2,9
Madge,3,6
Magician,8,167
Maguire,4,5
Malcolm,9,24
Male Applicant 1,8,20
Male Applicant 2,8,4
Male church member,7,17
Male voice,3,3
Man,1,5
Man,2,24
Man,3,57
Man,4,67
Man,5,17
Man,7,131
Man,8,5
Man,9,99
Man 1,9,12
Man 2,9,14
Man 3,9,14
Man from Buffalo,5,36
Man in Video,2,35
Man in line,6,1
Man on Phone,1,112
Man on phone,5,25
Manager,2,54
Manager,4,18
Manager,7,17
Marcy,3,22
Margaret,4,43
Marie,5,24
Mark,2,10
Mark,5,8
Mark,9,673
Mark McGrath,9,128
Martin,3,222
Mary-Beth,2,116
Master,2,59
Matt,6,45
Maurie,6,82
Mee-Maw,7,11
MeeMaw,7,8
Megan,6,15
Megan,8,50
Melissa,2,119
Melissa,3,17
Melvina,9,72
Mema,6,160
Member,7,7
Men,2,0
Meredith,1,146
Meredith,2,306
Meredith,3,381
Meredith,4,418
Meredith,5,931
Meredith,6,646
Meredith,7,565
Meredith,8,661
Meredith,9,974
Meredith & Kelly,8,3
Meredith's Vet,2,14
"Meredith, Creed, Oscar and Matt",6,0
Meridith,7,7
Merv,7,174
Merv Bronte,7,5
Mexican Man,7,0
Micael,4,1
Micahel,4,22
Micahel,7,26
Michae,4,14
Michael,1,11781
Michael,2,32926
Michael,3,27616
Michael,4,23492
Michael,5,27429
Michael,6,24302
Michael,7,18072
Michael,9,19
Michael ,3,16
Michael ,6,14
Michael ,7,1
Michael & Dwight,3,4
Michael & Dwight,6,3
Michael & Holly,5,40
Michael [on phone],5,7
Michael and Andy,7,6
Michael and Christian,2,9
Michael and Darryl,4,2
Michael and Donna,6,0
Michael and Dwight,1,0
Michael and Dwight,2,56
Michael and Dwight,3,14
Michael and Dwight,4,5
Michael and Dwight,6,5
Michael and Erin,6,34
Michael and Holly,5,12
Michael and Jim,2,45
Michael's Ad,4,74
"Michael, Holly, and Darryl",5,18
"Michael, Pam & Ryan",5,22
Michael/Dwight,4,46
Michal,5,14
Micheal,3,20
Micheal,5,35
Micheal,6,1
Micheal,7,1
Michel,1,1
Michel,5,23
Michel,6,6
Michel,7,8
Mihael,6,4
Miichael,6,2
Mikela,6,59
Minister,9,41
Miss Trudy,2,23
Moderator,9,45
Molly,9,57
Mose,4,56
Mose,7,3
Mose,8,46
Mose,9,23
Mose [on phone],7,1
Mother,5,11
Mr. Beesly,6,21
Mr. Brown,1,582
Mr. Figaro,4,17
Mr. Halpert,6,13
Mr. Kapoor,3,0
Mr. O'Malley,2,4
Mr. Ramish,8,75
Mr. Romanko,9,16
Mr. Ruger,9,40
Mr. Schofield,5,40
Mrs. California,8,3
Mrs. Davis,9,27
Mrs. Kapoor,3,3
Mrs. Wallace,6,40
Nail manager,9,18
Nail stylist 1,9,11
Nail stylist 2,9,13
Nana,5,57
Narrator,8,50
Nate,7,134
Nate,8,398
Nate,9,100
Neighbor,4,5
Nellie,7,199
Nellie,8,3080
Nellie,9,3402
Nellie Bertram,7,7
Nellie and Pam,9,1
New Instant Message,9,14
Nick,4,195
Nick,6,295
Night cleaning crew,6,4
Nurse,4,13
Nurse,5,44
Nurse,6,194
Nurse,8,14
O'Keefe,6,33
Off-camera,9,12
Office,6,2
Office,7,1
Office Staff,2,8
Officer,4,4
Officer 1,4,32
Officer 2,4,23
Officer Foley,8,23
Offscreen,8,2
Old Lady,8,34
Old Man,8,23
Old Woman,5,11
Old Woman,7,10
Old lady,6,9
Older Woman,7,9
Older guy,7,11
Oscar,1,412
Oscar,2,1043
Oscar,3,658
Oscar,4,852
Oscar,5,1805
Oscar,6,1548
Oscar,7,1527
Oscar,8,2032
Oscar,9,2840
Oscar and Stanley,4,8
Oscar's Computer,9,18
Oscar's friend,8,4
Oscar's voice from the computer,6,23
Other Guy at Bar,2,7
Other waitress,3,9
Others,8,2
Overhead,2,5
Overhead,3,39
Packer,1,2
Packer,2,25
Packer,3,164
Packer,8,242
Pam,1,1410
Pam,2,5934
Pam,3,5805
Pam,4,4200
Pam,5,6007
Pam,6,5879
Pam,7,6042
Pam,8,3910
Pam,9,7462
Pam ,7,1
Pam & Dwight,9,0
Pam [on phone],5,17
Pam and Jim,2,4
Pam and Jim,4,2
Pam and Kelly,8,3
Pam and others,2,3
Pam as fourth-biggest client,7,17
Pam as ninth-biggest client,7,13
Pam's Mom,2,64
Pam's dad,6,3
Pam's mom,6,66
Pam/Jim,2,7
Paramedic,8,11
Parent in Audience,9,1
Parent in audience #1,9,3
Parent in audience #2,9,2
Paris,3,56
Park Ranger,8,18
Party Announcer,9,7
Party Guest,9,5
Party Photographer,9,65
Party Waiter,9,1
Party guests,8,5
Passer-by,7,14
Pastor,7,110
Pastor,9,42
Patty,8,1
Paul,4,20
Paul Faust,4,3
Pediatrician,4,49
Penny,6,66
People in line,9,4
Pete,5,141
Pete,6,41
Pete,9,1510
Pete Halpert,6,15
Phil,4,121
Phil Maguire,4,22
Philip,9,1
Phillip,9,3
Phone,3,10
Phone,5,34
Phone,8,78
Phone Salesman,5,56
Photographer,2,73
Photographer,3,28
Photographer,8,8
Photographer,9,19
Phylis,2,8
Phylis,5,4
Phyliss,7,8
Phyllis,1,75
Phyllis,2,796
Phyllis,3,867
Phyllis,4,846
Phyllis,5,1490
Phyllis,6,1116
Phyllis,7,1225
Phyllis,8,862
Phyllis,9,1014
Phyllis and Creed,5,1
"Phyllis, Kevin & Stanley",9,5
"Phyllis, Meredith, Michael, Kevin",2,3
"Phyllis, Stanley, Dwight",7,1
Pizza guy,4,129
Police Officer 1,5,42
Police Officer 2,5,41
Policeman,6,17
Pretzel guy,3,46
Priest,3,33
Prince,5,9
Prince Granddaughter,5,9
Prince Grandfather,5,152
Prince Grandmother,5,6
Prince Son,5,14
Producer,9,40
Production Assistant,9,19
Professor,5,91
Professor Powell,7,31
Promo Announcer,9,0
Promo Voice,9,21
Queerenstein Bears,8,3
Rachel,3,67
Rachel,9,19
Radio,7,39
Rafe,9,1
Randy,3,13
Ravi,8,42
Ravi,9,63
Realtor,6,42
Receptionist,2,18
Receptionist,3,6
Receptionist,4,7
Receptionist,5,54
Receptionist,7,4
Receptionist,8,58
Receptionitis15,5,9
Receptionitis15 [screen name],5,2
Redheaded Actress,2,3
Registrar,6,22
Rehab Nurse,5,4
Reid,6,36
Rep,6,63
Reporter,6,22
Reporter,7,16
Reporter #1,9,11
Reporter #2,9,4
Robert,7,297
Robert,8,5351
Robert,9,160
Robert & Creed,8,2
Robert California,7,7
Robert California,8,202
Robert Dunder,4,113
Robotic Voice,7,15
Roger,9,4
Rolando,4,17
Rolando,5,19
Rolf,9,107
Rolph,5,83
Ronnie,5,15
Rory,7,21
Rose,5,91
Roy,1,223
Roy,2,857
Roy,3,853
Roy,5,44
Roy,9,145
Ruger Sister 1,9,16
Ruger Sister 2,9,6
Ryan,1,313
Ryan,2,1533
Ryan,3,1926
Ryan,4,2404
Ryan,5,1667
Ryan,6,1085
Ryan,7,1892
Ryan,8,2210
Ryan,9,185
Ryan Howard,9,178
Ryan and Kelly,7,10
Ryan and Michael,7,1
Ryan and others,3,6
Ryan's Voicemail,2,22
Sadiq (IT guy),2,57
Salesman,7,65
Salesman,9,5
Salesmen,9,13
Saleswoman,8,4
Sam,5,106
Santigold,9,26
Sasha,2,32
Sasha,5,3
Sasha,8,3
School Official,3,23
Second Cindy,3,56
Second Shareholder,6,8
Secretary,5,14
Secretary,6,19
Secretary,9,14
Security,6,9
Security guard,4,6
Senator,8,82
Senator,9,148
Senator Lipton,8,139
Senator Lipton,9,31
Senator Liptop,9,47
Sensei,9,118
Sensei Ira,9,1
Server,3,3
Server,9,9
Seth Mayers,9,30
Shane,6,65
Shareholder,6,3
Shelby,7,41
Sheriff,2,73
Sherri,2,57
Shirley,9,106
Soldier,8,35
Soldier,9,20
Someone,3,8
Someone,4,5
Son,7,37
Song,2,10
Spanish Teacher,3,19
Speaker,2,18
Speaker,8,97
Stanely,4,5
Stanley,1,150
Stanley,2,779
Stanley,3,841
Stanley,4,835
Stanley,5,883
Stanley,6,507
Stanley,7,552
Stanley,8,1009
Stanley,9,782
Stanley & Phyllis,5,0
Staples Guy,3,9
Stephanie,5,13
Stephanie,6,17
Steve,7,24
Stewardess,5,7
Stonewall Host,8,28
Store Employee,2,9
Stripper,9,31
Stu,8,3
Student 1,3,16
Student 2,3,19
Student 3,3,14
Students,6,77
Students,7,1
Suit Store Father,9,90
Suit Store Son,9,42
Supervisor,5,5
Susan,8,421
Sweeney Todd,7,108
TV,7,6
Tall Girl #1,4,23
Tall Girl #2,4,8
Tattoo Artist,8,42
Teacher,6,126
Teammates,1,1
Tech Guy,4,6
Ted,3,4
Teddy,6,11
Teddy Wallace,6,2
The Kids,2,4
Third Shareholder,6,10
Toby,1,88
Toby,2,1297
Toby,3,1087
Toby,4,1536
Toby,5,786
Toby,6,861
Toby,7,948
Toby,8,1114
Toby,9,1185
Todd,2,10
Todd,7,431
Todd,9,5
Todd Packer,1,117
Todd Packer,2,264
Todd Packer,6,71
Todd Packer,7,34
Todd Packer,8,196
Todd Packer,9,400
Together,7,2
Tom,5,103
Tom,6,43
Tom,7,69
Tom Halpert,6,6
Tom and Pete,6,1
Tony,3,145
Travel Agent,1,25
Trevor,9,281
Troy,4,96
Troy,9,1
Ty,5,8
Uncle Al,3,43
Unknown,3,2
Usher,7,27
Usher,9,3
VRG 1,5,15
VRG 2,5,11
Val,8,276
Val,9,133
Vance Refrigeration Guy,5,31
Vance Refrigeration Guy 1,5,4
Vance Refrigeration Guy 2,5,1
Vance Refrigeration Worker #1,2,48
Vance Refrigeration Worker #2,2,11
Vance Refrigeration guy,4,5
Vance Refrigeration guy,5,3
Various,6,6
Various,8,15
Vet,8,108
Video,2,0
Video,3,0
Video Michael,7,54
Vikram,4,51
Vikram,5,105
Voice #1 on phone,4,10
Voice #2 on phone,4,4
Voice of Thomas Dean,4,24
Voice on CD player,6,71
Voicemail,9,9
W.B. Jones,4,18
Wade,9,1
Waiter,3,27
Waiter,7,50
Waiter,8,49
Waiter,9,11
Waitress,2,14
Waitress,3,5
Waitress,4,6
Waitress,6,29
Waitress,8,3
Wally Amos,8,43
Walt Jr.,9,66
Walter,8,193
Walter & Walter Jr,8,44
Walter Jr,8,40
Warehouse Crew,8,4
Warehouse Guy,2,1
Warehouse Guy,6,3
Warehouse Guy,7,1
Warehouse Michael,5,15
Warehouse Worker,1,3
Warehouse guy,2,7
Warehouse guy 1,6,13
Warehouse guy 2,6,3
Warehouse guys,2,0
Warehouse worker,1,7
Warren,7,34
Warren Buffett,7,7
Wendy's phone operator,4,23
White,9,8
Window treatment guy,7,27
Wolf,9,92
Woman,3,6
Woman,4,16
Woman,5,10
Woman,6,31
Woman,7,20
Woman,8,2
Woman,9,38
Woman 1,9,33
Woman 2,9,31
Woman 3,9,13
Woman 4,9,36
Woman at bar,3,4
Woman from Buffalo,5,5
Woman in line,6,20
Woman on mic,4,15
Woman over speakerphone,4,20
Women,2,0
Women,3,4
Women,7,5
Worker,1,26
Worker,9,3
Wrangler,8,12
Young Man,3,6
Young Michael,2,28
Younger Guy,7,47
Zeke,9,109
Zion,6,6
"[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry",9,1
"[repeats]
Andy: Fail",9,1
abe,7,20
sAndy,4,12
song,2,8
